"","rownames","affairs","gender","age","yearsmarried","children","religiousness","education","occupation","rating","affairs2"
"102",512,0,"male",37,10,"yes",2,18,6,4,0
"103",515,0,"female",22,0.125,"no",4,12,4,5,0
"104",517,0,"male",57,15,"yes",5,20,6,5,0
"106",533,0,"male",22,4,"yes",4,14,6,4,0
"108",537,0,"male",57,15,"yes",4,20,5,4,0
"109",538,0,"male",32,15,"yes",3,14,6,3,0
"110",543,0,"female",22,1.5,"no",2,14,5,4,0
"111",547,0,"female",32,7,"yes",4,17,1,5,0
"112",550,0,"female",37,15,"yes",4,17,6,5,0
"114",571,0,"male",42,10,"yes",5,20,7,4,0
"115",578,0,"female",27,7,"no",3,16,5,4,0
"116",583,0,"male",37,15,"no",4,20,6,5,0
"118",594,0,"male",32,10,"no",5,18,6,4,0
"120",602,0,"female",27,7,"yes",4,12,2,4,0
"121",603,0,"female",27,7,"yes",2,16,2,5,0
"122",604,0,"female",42,15,"yes",5,18,5,4,0
"123",612,0,"male",42,15,"yes",4,17,5,3,0
"124",613,0,"female",27,7,"yes",2,16,1,2,0
"126",627,0,"male",37,15,"yes",5,20,6,5,0
"128",631,0,"male",27,1.5,"no",4,16,5,5,0
"129",632,0,"male",32,1.5,"no",2,18,6,5,0
"130",639,0,"male",27,1.5,"no",2,17,6,5,0
"131",645,0,"female",27,10,"yes",4,16,1,3,0
"132",647,0,"male",42,15,"yes",4,18,6,5,0
"133",648,0,"female",27,1.5,"no",2,16,6,5,0
"134",651,0,"male",27,4,"no",2,18,6,3,0
"136",667,0,"female",32,15,"yes",3,18,5,4,0
"137",670,0,"female",22,0.75,"no",2,18,6,5,0
"142",706,0,"female",32,15,"yes",5,18,6,4,0
"144",717,0,"male",52,15,"yes",2,18,5,4,0
"145",719,0,"male",27,4,"no",3,20,6,3,0
"146",723,0,"male",37,4,"yes",1,18,5,4,0
"147",724,0,"male",27,4,"yes",4,14,5,4,0
"148",726,0,"female",52,15,"yes",5,12,1,3,0
"150",735,0,"male",27,7,"yes",1,16,5,4,0
"152",737,0,"male",22,0.75,"no",2,14,4,3,0
"153",739,0,"male",32,4,"yes",2,18,5,3,0
"154",743,0,"male",37,15,"yes",4,20,6,3,0
"155",745,0,"male",22,0.75,"yes",2,14,4,3,0
"156",747,0,"male",42,15,"yes",4,20,6,3,0
"157",751,0,"female",52,15,"yes",5,17,1,1,0
"158",752,0,"female",37,15,"yes",4,14,1,2,0
"159",754,0,"male",27,7,"yes",4,14,5,3,0
"160",760,0,"male",32,4,"yes",2,16,5,5,0
"161",763,0,"female",27,4,"yes",2,18,6,5,0
"162",774,0,"female",27,4,"yes",2,18,5,5,0
"163",776,0,"male",37,15,"yes",5,18,6,5,0
"164",779,0,"female",47,15,"yes",5,12,5,4,0
"165",784,0,"female",32,10,"yes",3,17,1,4,0
"166",788,0,"female",27,1.5,"yes",4,17,1,2,0
"167",794,0,"female",57,15,"yes",2,18,5,2,0
"168",795,0,"female",22,1.5,"no",4,14,5,4,0
"169",798,0,"male",42,15,"yes",3,14,3,4,0
"170",800,0,"male",57,15,"yes",4,9,2,2,0
"171",803,0,"male",57,15,"yes",4,20,6,5,0
"172",807,0,"female",22,0.125,"no",4,14,4,5,0
"173",812,0,"female",32,10,"yes",4,14,1,5,0
"174",820,0,"female",42,15,"yes",3,18,5,4,0
"175",823,0,"female",27,1.5,"no",2,18,6,5,0
"176",830,0,"male",32,0.125,"yes",2,18,5,2,0
"178",848,0,"female",27,10,"yes",2,16,1,4,0
"179",851,0,"female",32,7,"yes",4,16,1,3,0
"180",854,0,"female",37,15,"yes",4,14,5,4,0
"181",856,0,"female",42,15,"yes",5,17,6,2,0
"182",857,0,"male",32,1.5,"yes",4,14,6,5,0
"183",859,0,"female",32,4,"yes",3,17,5,3,0
"185",865,0,"female",22,0.417,"yes",3,14,3,5,0
"186",867,0,"female",27,7,"yes",4,14,1,5,0
"187",870,0,"male",27,0.75,"no",3,16,5,5,0
"188",873,0,"male",27,4,"yes",2,20,5,5,0
"190",876,0,"male",32,15,"yes",1,14,5,5,0
"191",877,0,"male",22,0.75,"no",3,17,4,5,0
"193",903,0,"male",27,0.417,"yes",4,20,5,4,0
"194",904,0,"male",37,15,"yes",4,20,5,4,0
"195",905,0,"female",37,15,"yes",2,14,1,3,0
"198",910,0,"female",22,1.5,"no",2,14,4,5,0
"199",912,0,"male",52,15,"yes",4,14,6,2,0
"200",914,0,"female",22,1.5,"no",4,17,5,5,0
"201",915,0,"male",32,4,"yes",5,14,3,5,0
"202",916,0,"male",32,4,"yes",2,14,3,5,0
"203",920,0,"female",22,1.5,"no",3,16,6,5,0
"204",921,0,"male",27,0.75,"no",2,18,3,3,0
"205",925,0,"female",22,7,"yes",2,14,5,2,0
"206",926,0,"female",27,0.75,"no",2,17,5,3,0
"207",929,0,"female",37,15,"yes",4,12,1,2,0
"209",945,0,"female",37,10,"no",2,12,4,4,0
"210",947,0,"female",37,15,"yes",4,18,5,3,0
"211",949,0,"female",42,15,"yes",3,12,3,3,0
"212",950,0,"male",22,4,"no",2,18,5,5,0
"213",961,0,"male",52,7,"yes",2,20,6,2,0
"215",966,0,"female",27,4,"no",2,17,4,5,0
"216",967,0,"male",42,1.5,"no",5,20,6,5,0
"217",987,0,"male",22,1.5,"no",4,17,6,5,0
"218",990,0,"male",22,4,"no",4,17,5,3,0
"219",992,0,"female",22,4,"yes",1,14,5,4,0
"220",995,0,"male",37,15,"yes",5,20,4,5,0
"221",1009,0,"female",37,10,"yes",3,16,6,3,0
"222",1021,0,"male",42,15,"yes",4,17,6,5,0
"223",1026,0,"female",47,15,"yes",4,17,5,5,0
"224",1027,0,"male",22,1.5,"no",4,16,5,4,0
"225",1030,0,"female",32,10,"yes",3,12,1,4,0
"226",1031,0,"female",22,7,"yes",1,14,3,5,0
"227",1034,0,"female",32,10,"yes",4,17,5,4,0
"228",1037,0,"male",27,1.5,"yes",2,16,2,4,0
"229",1038,0,"male",37,15,"yes",4,14,5,5,0
"230",1039,0,"male",42,4,"yes",3,14,4,5,0
"231",1045,0,"female",37,15,"yes",5,14,5,4,0
"232",1046,0,"female",32,7,"yes",4,17,5,5,0
"233",1054,0,"female",42,15,"yes",4,18,6,5,0
"234",1059,0,"male",27,4,"no",4,18,6,4,0
"235",1063,0,"male",22,0.75,"no",4,18,6,5,0
"236",1068,0,"male",27,4,"yes",4,14,5,3,0
"237",1070,0,"female",22,0.75,"no",5,18,1,5,0
"238",1072,0,"female",52,15,"yes",5,9,5,5,0
"239",1073,0,"male",32,10,"yes",3,14,5,5,0
"241",1081,0,"male",32,7,"yes",2,20,5,4,0
"243",1084,0,"male",32,15,"yes",1,16,5,5,0
"244",1086,0,"male",27,4,"yes",3,18,5,5,0
"245",1087,0,"female",32,15,"yes",4,12,3,4,0
"246",1089,0,"male",22,0.75,"yes",3,14,2,4,0
"247",1096,0,"female",22,1.5,"no",3,16,5,3,0
"248",1102,0,"female",42,15,"yes",4,14,3,5,0
"249",1103,0,"female",52,15,"yes",3,16,5,4,0
"250",1107,0,"male",37,15,"yes",5,20,6,4,0
"251",1109,0,"female",47,15,"yes",4,12,2,3,0
"252",1115,0,"male",57,15,"yes",2,20,6,4,0
"253",1119,0,"male",32,7,"yes",4,17,5,5,0
"257",1129,0,"female",22,1.5,"no",2,14,1,5,0
"258",1130,0,"male",42,15,"yes",2,20,6,4,0
"259",1133,0,"male",57,15,"yes",4,9,2,4,0
"260",1140,0,"female",27,7,"yes",2,18,1,5,0
"261",1143,0,"female",22,4,"yes",3,14,1,5,0
"263",1153,0,"male",32,7,"yes",1,18,6,4,0
"264",1156,0,"female",22,1.5,"no",2,14,5,5,0
"265",1157,0,"female",22,1.5,"yes",3,12,1,3,0
"267",1160,0,"female",37,15,"yes",2,14,1,1,0
"268",1161,0,"female",32,10,"yes",2,14,5,5,0
"269",1166,0,"male",42,15,"yes",4,20,4,5,0
"270",1177,0,"female",27,4,"yes",3,18,4,5,0
"271",1178,0,"male",37,15,"yes",4,20,6,5,0
"272",1180,0,"male",27,1.5,"no",3,18,5,5,0
"273",1187,0,"female",22,0.125,"no",2,16,6,3,0
"274",1191,0,"male",32,10,"yes",2,20,6,3,0
"275",1195,0,"female",27,4,"no",4,18,5,4,0
"276",1207,0,"female",27,7,"yes",2,12,5,1,0
"277",1208,0,"male",32,4,"yes",5,18,6,3,0
"278",1209,0,"female",37,15,"yes",2,17,5,5,0
"280",1215,0,"male",27,1.5,"no",1,18,5,5,0
"283",1229,0,"female",32,7,"yes",4,17,5,4,0
"284",1231,0,"female",42,15,"yes",3,14,1,3,0
"285",1234,0,"female",27,7,"yes",3,16,1,4,0
"286",1235,0,"male",27,1.5,"no",3,16,4,2,0
"287",1242,0,"male",22,1.5,"no",3,16,3,5,0
"288",1245,0,"male",27,4,"yes",3,16,4,2,0
"289",1260,0,"female",27,7,"yes",3,12,1,2,0
"291",1271,0,"female",37,7,"yes",3,14,4,4,0
"292",1273,0,"male",22,1.5,"no",2,16,5,5,0
"293",1276,0,"male",37,15,"yes",5,20,5,4,0
"294",1280,0,"female",22,1.5,"no",4,16,5,3,0
"295",1282,0,"female",32,10,"yes",4,16,1,5,0
"296",1285,0,"male",27,4,"no",2,17,5,3,0
"298",1298,0,"female",27,4,"no",2,18,5,5,0
"299",1299,0,"male",37,15,"yes",4,18,5,3,0
"301",1305,0,"female",27,7,"yes",2,14,4,2,0
"303",1314,0,"male",32,4,"yes",2,16,6,4,0
"304",1319,0,"male",22,1.5,"no",3,18,4,5,0
"305",1322,0,"female",22,4,"yes",4,14,3,4,0
"306",1324,0,"female",17.5,0.75,"no",2,18,5,4,0
"308",1328,0,"female",32,0.75,"no",5,14,3,3,0
"309",1330,0,"male",37,15,"yes",4,17,5,3,0
"310",1332,0,"male",32,4,"no",3,14,4,5,0
"311",1333,0,"female",27,1.5,"no",2,17,3,2,0
"312",1336,0,"female",22,7,"yes",4,14,1,5,0
"313",1341,0,"male",47,15,"yes",5,14,6,5,0
"314",1344,0,"male",27,4,"yes",1,16,4,4,0
"315",1352,0,"female",37,15,"yes",5,14,1,3,0
"316",1358,0,"male",42,4,"yes",4,18,5,5,0
"317",1359,0,"female",32,4,"yes",2,14,1,5,0
"318",1361,0,"male",52,15,"yes",2,14,7,4,0
"319",1364,0,"female",22,1.5,"no",2,16,1,4,0
"320",1368,0,"male",52,15,"yes",4,12,2,4,0
"322",1390,0,"female",22,1.5,"no",2,16,5,5,0
"326",1407,0,"male",32,4,"no",1,20,6,5,0
"327",1408,0,"male",37,15,"yes",3,20,6,4,0
"328",1412,0,"female",32,10,"no",2,16,6,5,0
"330",1416,0,"male",37,1.5,"yes",4,18,5,3,0
"331",1417,0,"male",32,1.5,"no",2,18,4,4,0
"332",1418,0,"female",32,10,"yes",4,14,1,4,0
"333",1419,0,"female",47,15,"yes",4,18,5,4,0
"334",1420,0,"female",27,10,"yes",5,12,1,5,0
"335",1423,0,"male",27,4,"yes",3,16,4,5,0
"337",1432,0,"female",27,0.75,"no",4,16,5,5,0
"338",1433,0,"female",37,15,"yes",4,16,1,5,0
"339",1437,0,"female",32,15,"yes",3,16,1,5,0
"340",1438,0,"female",27,10,"yes",2,16,1,5,0
"341",1439,0,"male",27,7,"no",2,20,6,5,0
"342",1446,0,"female",37,15,"yes",2,14,1,3,0
"343",1450,0,"male",27,1.5,"yes",2,17,4,4,0
"345",1452,0,"male",22,4,"yes",4,14,2,4,0
"347",1456,0,"male",27,1.5,"yes",4,18,6,5,0
"348",1464,0,"male",27,7,"yes",3,16,6,3,0
"349",1469,0,"female",52,15,"yes",4,14,1,3,0
"351",1481,0,"female",27,1.5,"no",2,16,5,5,0
"352",1482,0,"female",27,1.5,"no",3,17,5,5,0
"353",1496,0,"male",22,0.125,"no",5,16,4,4,0
"354",1497,0,"female",27,4,"yes",4,16,1,5,0
"356",1513,0,"female",47,15,"yes",2,14,5,5,0
"357",1515,0,"female",32,15,"yes",3,14,5,3,0
"358",1534,0,"male",42,7,"yes",2,16,5,5,0
"359",1535,0,"male",22,0.75,"no",4,16,6,4,0
"360",1536,0,"male",27,0.125,"no",3,20,6,5,0
"361",1540,0,"male",32,10,"yes",3,20,6,5,0
"363",1555,0,"female",47,15,"yes",5,14,1,4,0
"365",1566,0,"male",57,15,"yes",4,17,5,5,0
"366",1567,0,"male",27,4,"yes",3,20,6,5,0
"367",1576,0,"female",32,7,"yes",4,17,1,5,0
"368",1584,0,"female",37,10,"yes",4,16,1,5,0
"369",1585,0,"female",32,10,"yes",1,18,1,4,0
"370",1590,0,"female",22,4,"no",3,14,1,4,0
"371",1594,0,"female",27,7,"yes",4,14,3,2,0
"372",1595,0,"male",57,15,"yes",5,18,5,2,0
"373",1603,0,"male",32,7,"yes",2,18,5,5,0
"374",1608,0,"female",27,1.5,"no",4,17,1,3,0
"375",1609,0,"male",22,1.5,"no",4,14,5,5,0
"376",1615,0,"female",22,1.5,"yes",4,14,5,4,0
"377",1616,0,"female",32,7,"yes",3,16,1,5,0
"378",1617,0,"female",47,15,"yes",3,16,5,4,0
"380",1621,0,"female",22,1.5,"yes",2,14,5,5,0
"381",1637,0,"female",27,4,"yes",1,16,5,5,0
"382",1638,0,"male",52,15,"yes",4,16,5,5,0
"383",1650,0,"male",32,10,"yes",4,20,6,5,0
"385",1665,0,"female",27,7,"yes",2,14,1,2,0
"386",1670,0,"female",22,1.5,"no",4,14,4,5,0
"387",1671,0,"female",32,10,"yes",2,16,5,4,0
"388",1675,0,"female",22,0.75,"no",2,16,5,4,0
"389",1688,0,"female",22,1.5,"no",2,16,5,5,0
"390",1691,0,"female",42,15,"yes",3,18,6,4,0
"391",1695,0,"female",27,7,"yes",5,14,4,5,0
"393",1704,0,"female",57,15,"yes",3,18,5,2,0
"394",1705,0,"male",42,15,"yes",3,18,6,2,0
"395",1711,0,"female",32,7,"yes",2,14,1,2,0
"396",1719,0,"male",22,4,"no",5,12,4,5,0
"397",1723,0,"female",22,1.5,"no",1,16,6,5,0
"398",1726,0,"female",22,0.75,"no",1,14,4,5,0
"399",1749,0,"female",32,15,"yes",4,12,1,5,0
"400",1752,0,"male",22,1.5,"no",2,18,5,3,0
