"","rownames","affairs","gender","age","yearsmarried","children","religiousness","education","occupation","rating","affairs2"
"233",1054,0,"female",42,15,"yes",4,18,6,5,"No"
"234",1059,0,"male",27,4,"no",4,18,6,4,"No"
"236",1068,0,"male",27,4,"yes",4,14,5,3,"No"
"248",1102,0,"female",42,15,"yes",4,14,3,5,"No"
"262",1146,0,"male",37,15,"yes",4,14,5,3,"No"
"265",1157,0,"female",22,1.5,"yes",3,12,1,3,"No"
"267",1160,0,"female",37,15,"yes",2,14,1,1,"No"
"268",1161,0,"female",32,10,"yes",2,14,5,5,"No"
"273",1187,0,"female",22,0.125,"no",2,16,6,3,"No"
"282",1226,0,"female",32,15,"yes",4,18,1,4,"No"
"289",1260,0,"female",27,7,"yes",3,12,1,2,"No"
"303",1314,0,"male",32,4,"yes",2,16,6,4,"No"
"304",1319,0,"male",22,1.5,"no",3,18,4,5,"No"
"310",1332,0,"male",32,4,"no",3,14,4,5,"No"
"314",1344,0,"male",27,4,"yes",1,16,4,4,"No"
"317",1359,0,"female",32,4,"yes",2,14,1,5,"No"
"318",1361,0,"male",52,15,"yes",2,14,7,4,"No"
"324",1394,0,"female",32,15,"yes",4,14,1,5,"No"
"326",1407,0,"male",32,4,"no",1,20,6,5,"No"
"329",1413,0,"female",32,10,"yes",5,14,5,5,"No"
"337",1432,0,"female",27,0.75,"no",4,16,5,5,"No"
"345",1452,0,"male",22,4,"yes",4,14,2,4,"No"
"347",1456,0,"male",27,1.5,"yes",4,18,6,5,"No"
"348",1464,0,"male",27,7,"yes",3,16,6,3,"No"
"356",1513,0,"female",47,15,"yes",2,14,5,5,"No"
"362",1551,0,"female",22,0.417,"no",5,14,4,5,"No"
"366",1567,0,"male",27,4,"yes",3,20,6,5,"No"
"374",1608,0,"female",27,1.5,"no",4,17,1,3,"No"
"378",1617,0,"female",47,15,"yes",3,16,5,4,"No"
"384",1654,0,"male",47,15,"yes",4,16,6,4,"No"
"386",1670,0,"female",22,1.5,"no",4,14,4,5,"No"
"389",1688,0,"female",22,1.5,"no",2,16,5,5,"No"
"395",1711,0,"female",32,7,"yes",2,14,1,2,"No"
"396",1719,0,"male",22,4,"no",5,12,4,5,"No"
"403",1761,0,"male",42,15,"yes",5,18,5,4,"No"
"405",1775,0,"male",57,15,"no",4,9,3,1,"No"
"421",1850,0,"male",22,4,"yes",4,16,5,5,"No"
"422",1851,0,"female",27,4,"yes",2,16,1,4,"No"
"433",1897,0,"male",27,4,"yes",4,17,4,4,"No"
"440",1920,0,"male",27,7,"yes",2,20,6,2,"No"
"442",1940,0,"male",27,4,"yes",3,16,3,5,"No"
"446",1952,0,"female",22,4,"no",4,14,5,5,"No"
"457",79,1,"female",22,1.5,"yes",2,14,1,5,"Yes"
"458",122,12,"male",37,15,"yes",4,14,5,2,"Yes"
"461",138,3,"female",32,15,"yes",4,12,3,2,"Yes"
"468",186,7,"male",37,10,"yes",2,18,7,3,"Yes"
"471",215,1,"female",47,15,"yes",5,14,4,5,"Yes"
"472",232,7,"female",27,4,"yes",3,18,5,4,"Yes"
"476",274,3,"female",42,15,"yes",4,16,5,4,"Yes"
"481",328,3,"female",32,10,"yes",4,14,1,4,"Yes"
"483",353,1,"female",17.5,0.75,"no",5,14,4,5,"Yes"
"485",367,7,"female",32,7,"yes",2,17,6,4,"Yes"
"489",423,7,"male",52,15,"yes",2,20,6,4,"Yes"
"491",436,1,"male",52,15,"yes",2,20,6,3,"Yes"
"502",625,12,"male",37,15,"yes",2,20,5,4,"Yes"
"504",646,1,"male",27,4,"no",2,14,4,5,"Yes"
"507",666,1,"female",27,10,"yes",4,16,1,4,"Yes"
"519",893,7,"male",37,10,"yes",1,18,5,3,"Yes"
"520",927,3,"male",42,15,"yes",3,17,6,1,"Yes"
"521",928,1,"female",52,15,"yes",3,14,4,4,"Yes"
"526",975,12,"female",37,15,"yes",1,18,5,5,"Yes"
"529",986,1,"female",32,7,"yes",3,17,5,3,"Yes"
"540",1131,3,"male",32,10,"yes",2,14,4,4,"Yes"
"549",1236,7,"male",42,15,"yes",3,20,5,4,"Yes"
"555",1427,12,"male",37,15,"yes",3,17,6,3,"Yes"
"557",1460,7,"male",27,10,"yes",2,20,6,4,"Yes"
"571",1669,2,"female",27,4,"no",1,17,3,1,"Yes"
"580",1743,1,"male",42,15,"yes",3,16,6,3,"Yes"
"585",1772,3,"male",32,4,"yes",3,20,6,2,"Yes"
"586",1776,2,"male",32,15,"yes",5,20,6,5,"Yes"
"590",1831,7,"female",32,15,"yes",3,14,3,2,"Yes"
"592",1844,12,"male",42,15,"yes",3,18,6,2,"Yes"
"593",1856,7,"female",42,15,"yes",2,14,3,2,"Yes"
